init rebuild EM1 EM1_00 EM1a EM1a_00 EM1b EM1b_00 EM2 EM2_00 EM3 EM3_00
25 20 100 100 100 100 100 100 100 100 100 100
25 35 100 100 100 100 100 100 100 100 100 100
25 50 100 100 100 100 100 100 100 100 100 100
50 20 100 100 100 100 100 100 100 100 100 100
50 35 100 100 100 100 100 100 100 99.6 100 100
50 50 100 100 100 100 100 100 100 99.2 100 100
75 20 100 100 100 100 100 100 100 100 100 100
75 35 100 100 100 100 100 100 100 100 100 100
75 50 100 100 100 100 100 100 100 100 100 100
100 20 100 100 100 100 100 100 100 100 100 100
100 35 100 100 100 100 100 100 100 100 100 100
100 50 100 100 100 100 100 100 100 99.6 100 100
